PlayerName,Teams,Span,Matches,Innings,NotOuts,Runs,HighestScore,BattingAverage,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks,Fours,Sixes,BowlInnings,Overs,Maidens,RunsConceded,Wickets,BestBowlingInnings,BowlingAverage,Economy,BowlingStrikeRate,FourWickets,FiveWickets
PC Valthaty,"Kings XI Punjab, Rajasthan Royals",2009-2013,23,23,1,505,120*,22.95,418,120.81,1,2,1,60,20,10,25.1,0,205,7,4/29,29.28,8.14,21.5,1,0
PD Collingwood,Delhi Daredevils,2010-2010,8,7,2,203,75*,40.6,156,130.12,0,3,0,9,13,6,14.5,0,101,5,2/19,20.2,6.8,17.8,0,0
PD Salt,"Delhi Capitals, Kolkata Knight Riders, Royal Challengers Bengaluru",2023-2026,38,38,3,1188,89*,33.94,675,176,0,11,4,133,64,-,-,-,-,-,-,-,-,-,-,-
PH Solanki,Chennai Super Kings,2022-2022,2,-,-,-,-,-,-,-,-,-,-,-,-,2,6.0,0,38,2,2/20,19,6.33,18,0,0
PHKD Mendis,Sunrisers Hyderabad,2025-2025,5,5,2,92,32*,30.66,69,133.33,0,0,1,7,2,4,7.0,0,60,2,1/4,30,8.57,21,0,0
PJ Cummins,"Delhi Daredevils, Kolkata Knight Riders, Sunrisers Hyderabad",2014-2025,72,50,20,612,66*,20.4,402,152.23,0,3,4,39,41,72,269.3,2,2373,79,4/34,30.03,8.8,20.4,1,0
PJ Sangwan,"Delhi Daredevils, Gujarat Lions, Gujarat Titans, Kolkata Knight Riders, Mumbai Indians",2008-2022,42,15,7,26,6*,3.25,44,59.09,0,0,4,1,0,42,142.4,1,1240,38,3/18,32.63,8.69,22.5,0,0
PK Garg,"Delhi Capitals, Sunrisers Hyderabad",2020-2023,23,19,1,273,51*,15.16,241,113.27,0,1,2,16,9,-,-,-,-,-,-,-,-,-,-,-
PM Sarvesh Kumar,Deccan Chargers,2008-2008,2,1,1,1,1*,-,2,50,0,0,0,0,0,2,5.0,0,42,1,1/18,42,8.4,30,0,0
PN Mankad,"Lucknow Super Giants, Punjab Kings",2022-2023,6,6,3,97,64*,32.33,73,132.87,0,1,1,13,2,-,-,-,-,-,-,-,-,-,-,-
